date,open,high,low,close,volume,amount
2019-12-12,11.98,12.32,11.26,11.86,25553600.0,304480856.0
2019-12-13,11.92,13.46,11.92,12.96,11543000.0,149372200.0
2019-12-16,13.26,13.4,12.0,12.5,4057200.0,51653176.0
2019-12-17,12.78,12.78,12.04,12.26,2653000.0,32712604.0
2019-12-18,12.26,12.72,11.72,12.0,3104600.0,37798268.0
2019-12-19,12.02,12.7,12.02,12.6,1704000.0,21120256.0
2019-12-20,12.7,15.16,12.52,13.86,8394000.0,117433036.0
2019-12-23,14.02,14.7,12.74,12.9,13640810.0,177990615.0
2019-12-24,13.0,13.1,12.64,12.88,1441200.0,18470148.0
2019-12-27,13.0,14.46,12.96,14.4,20035190.0,270870982.0
2019-12-30,14.62,16.4,14.62,15.72,6029200.0,94697544.0
2019-12-31,15.9,17.12,15.8,17.0,3238093.0,53556585.0
2020-01-02,17.5,18.8,17.4,18.52,4334600.0,79129200.0
2020-01-03,18.98,19.0,17.2,18.12,3331400.0,60233269.0
2020-01-06,18.12,18.48,17.22,18.4,1646000.0,29391577.0
2020-01-07,18.38,19.0,18.04,19.0,1786600.0,33704652.0
2020-01-08,18.9,19.16,17.82,18.92,1865600.0,35277968.0
2020-01-09,19.22,19.66,18.8,18.82,1957800.0,37662724.0
2020-01-10,19.1,19.88,17.56,18.32,2334800.0,43186379.0
2020-01-13,18.96,18.96,17.42,18.02,1982600.0,35877110.0
2020-01-14,18.06,18.68,17.28,18.34,3824000.0,69735640.0
2020-01-15,18.6,18.62,18.02,18.34,830800.0,15245700.0
2020-01-16,18.62,22.0,18.62,21.95,5373493.0,110500616.0
2020-01-17,22.3,22.8,20.9,21.7,1915600.0,41659500.0
2020-01-20,22.0,24.5,20.9,24.3,3498800.0,81069520.0
2020-01-21,23.6,26.4,23.5,24.15,3293200.0,82709540.0
2020-01-22,24.25,25.95,24.2,25.45,2473900.0,62526465.0
2020-01-23,25.1,26.5,21.9,24.1,4279000.0,105887640.0
2020-01-24,24.5,25.15,23.6,24.4,745400.0,18191950.0
2020-01-29,23.9,25.5,23.5,24.65,2225900.0,54512240.0
2020-01-30,24.65,25.3,23.0,23.45,1848400.0,44012200.0
2020-01-31,23.4,24.1,22.3,23.15,1297055.0,30020439.0
2020-02-03,22.95,24.45,22.0,23.45,1864600.0,44192830.0
2020-02-04,24.0,24.4,23.1,23.35,1645000.0,38953210.0
2020-02-05,23.2,24.0,22.7,22.95,2365800.0,55403580.0
2020-02-06,22.95,27.6,22.85,26.5,3865000.0,98710270.0
2020-02-07,27.0,29.2,26.2,29.2,2686970.0,75306940.0
2020-02-10,28.4,29.7,27.6,28.55,2144800.0,60908790.0
2020-02-11,29.0,29.0,27.0,27.45,951000.0,26359350.0
2020-02-12,27.5,27.5,26.25,26.45,1155800.0,30956200.0
2020-02-13,27.2,28.5,26.45,28.2,1160000.0,32220079.0
2020-02-14,28.15,28.95,27.8,28.4,930600.0,26605520.0
2020-02-17,28.4,30.3,28.3,29.7,1855400.0,55028740.0
